Full Name,Start Date,End Date,Date of Death
Charles de Gaulle,1959-01-08,1969-04-28,1970-11-09
Georges Pompidou,1969-06-20,1974-04-02,1974-04-02
Valéry Giscard d'Estaing,1974-05-27,1981-05-21,2020-12-02
François Mitterrand,1981-05-21,1995-05-17,1996-01-08
Jacques Chirac,1995-05-17,2007-05-16,2019-09-26
Nicolas Sarkozy,2007-05-16,2012-05-15,
François Hollande,2012-05-15,2017-05-14,
Emmanuel Macron,2017-05-14,,
